office,district,town,ward,precinct,name,party,votes
US House,1,Adams,-,1,Total Votes Cast,Total Votes Cast,548
US House,1,Adams,-,1,Richard E. Neal,Democratic,459
US House,1,Adams,-,1,Blanks,Blanks,87
US House,1,Adams,-,1,All Others,All Others,2
US House,1,Adams,-,2,Total Votes Cast,Total Votes Cast,654
US House,1,Adams,-,2,Richard E. Neal,Democratic,528
US House,1,Adams,-,2,Blanks,Blanks,119
US House,1,Adams,-,2,All Others,All Others,7
US House,1,Adams,-,3,Total Votes Cast,Total Votes Cast,660
US House,1,Adams,-,3,Richard E. Neal,Democratic,536
US House,1,Adams,-,3,Blanks,Blanks,119
US House,1,Adams,-,3,All Others,All Others,5
US House,1,Adams,-,4,Total Votes Cast,Total Votes Cast,574
US House,1,Adams,-,4,Richard E. Neal,Democratic,483
US House,1,Adams,-,4,Blanks,Blanks,88
US House,1,Adams,-,4,All Others,All Others,3
US House,1,Adams,-,5,Total Votes Cast,Total Votes Cast,755
US House,1,Adams,-,5,Richard E. Neal,Democratic,621
US House,1,Adams,-,5,Blanks,Blanks,131
US House,1,Adams,-,5,All Others,All Others,3
US House,1,Agawam,-,1,Total Votes Cast,Total Votes Cast,1253
US House,1,Agawam,-,1,Richard E. Neal,Democratic,882
US House,1,Agawam,-,1,Blanks,Blanks,328
US House,1,Agawam,-,1,All Others,All Others,43
US House,1,Agawam,-,2,Total Votes Cast,Total Votes Cast,1749
US House,1,Agawam,-,2,Richard E. Neal,Democratic,1186
US House,1,Agawam,-,2,Blanks,Blanks,517
US House,1,Agawam,-,2,All Others,All Others,46
US House,1,Agawam,-,3,Total Votes Cast,Total Votes Cast,1458
US House,1,Agawam,-,3,Richard E. Neal,Democratic,1084
US House,1,Agawam,-,3,Blanks,Blanks,332
US House,1,Agawam,-,3,All Others,All Others,42
US House,1,Agawam,-,4,Total Votes Cast,Total Votes Cast,1242
US House,1,Agawam,-,4,Richard E. Neal,Democratic,890
US House,1,Agawam,-,4,Blanks,Blanks,324
US House,1,Agawam,-,4,All Others,All Others,28
US House,1,Agawam,-,5,Total Votes Cast,Total Votes Cast,1760
US House,1,Agawam,-,5,Richard E. Neal,Democratic,1256
US House,1,Agawam,-,5,Blanks,Blanks,481
US House,1,Agawam,-,5,All Others,All Others,23
US House,1,Agawam,-,6,Total Votes Cast,Total Votes Cast,1411
US House,1,Agawam,-,6,Richard E. Neal,Democratic,963
US House,1,Agawam,-,6,Blanks,Blanks,380
US House,1,Agawam,-,6,All Others,All Others,68
US House,1,Agawam,-,7,Total Votes Cast,Total Votes Cast,1541
US House,1,Agawam,-,7,Richard E. Neal,Democratic,1072
US House,1,Agawam,-,7,Blanks,Blanks,430
US House,1,Agawam,-,7,All Others,All Others,39
US House,1,Agawam,-,8,Total Votes Cast,Total Votes Cast,1646
US House,1,Agawam,-,8,Richard E. Neal,Democratic,1159
US House,1,Agawam,-,8,Blanks,Blanks,435
US House,1,Agawam,-,8,All Others,All Others,52
US House,1,Alford,-,1,Total Votes Cast,Total Votes Cast,261
US House,1,Alford,-,1,Richard E. Neal,Democratic,220
US House,1,Alford,-,1,Blanks,Blanks,39
US House,1,Alford,-,1,All Others,All Others,2
US House,1,Ashfield,-,1,Total Votes Cast,Total Votes Cast,1051
US House,1,Ashfield,-,1,Richard E. Neal,Democratic,867
US House,1,Ashfield,-,1,Blanks,Blanks,180
US House,1,Ashfield,-,1,All Others,All Others,4
US House,1,Becket,-,1,Total Votes Cast,Total Votes Cast,805
US House,1,Becket,-,1,Richard E. Neal,Democratic,602
US House,1,Becket,-,1,Blanks,Blanks,183
US House,1,Becket,-,1,All Others,All Others,20
US House,1,Bernardston,-,1,Total Votes Cast,Total Votes Cast,1052
US House,1,Bernardston,-,1,Richard E. Neal,Democratic,848
US House,1,Bernardston,-,1,Blanks,Blanks,188
US House,1,Bernardston,-,1,All Others,All Others,16
US House,1,Blandford,-,1,Total Votes Cast,Total Votes Cast,604
US House,1,Blandford,-,1,Richard E. Neal,Democratic,392
US House,1,Blandford,-,1,Blanks,Blanks,209
US House,1,Blandford,-,1,All Others,All Others,3
US House,1,Brimfield,-,1,Total Votes Cast,Total Votes Cast,1812
US House,1,Brimfield,-,1,Richard E. Neal,Democratic,1237
US House,1,Brimfield,-,1,Blanks,Blanks,507
US House,1,Brimfield,-,1,All Others,All Others,68
US House,1,Brookfield,-,1,Total Votes Cast,Total Votes Cast,1531
US House,1,Brookfield,-,1,Richard E. Neal,Democratic,1034
US House,1,Brookfield,-,1,Blanks,Blanks,449
US House,1,Brookfield,-,1,All Others,All Others,48
US House,1,Buckland,-,1,Total Votes Cast,Total Votes Cast,976
US House,1,Buckland,-,1,Richard E. Neal,Democratic,789
US House,1,Buckland,-,1,Blanks,Blanks,178
US House,1,Buckland,-,1,All Others,All Others,9
US House,1,Charlemont,-,1,Total Votes Cast,Total Votes Cast,593
US House,1,Charlemont,-,1,Richard E. Neal,Democratic,454
US House,1,Charlemont,-,1,Blanks,Blanks,139
US House,1,Charlemont,-,1,All Others,All Others,0
US House,1,Charlton,-,1,Total Votes Cast,Total Votes Cast,1408
US House,1,Charlton,-,1,Richard E. Neal,Democratic,932
US House,1,Charlton,-,1,Blanks,Blanks,440
US House,1,Charlton,-,1,All Others,All Others,36
US House,1,Charlton,-,2,Total Votes Cast,Total Votes Cast,1535
US House,1,Charlton,-,2,Richard E. Neal,Democratic,978
US House,1,Charlton,-,2,Blanks,Blanks,513
US House,1,Charlton,-,2,All Others,All Others,44
US House,1,Charlton,-,3,Total Votes Cast,Total Votes Cast,1496
US House,1,Charlton,-,3,Richard E. Neal,Democratic,1014
US House,1,Charlton,-,3,Blanks,Blanks,427
US House,1,Charlton,-,3,All Others,All Others,55
US House,1,Charlton,-,4,Total Votes Cast,Total Votes Cast,1402
US House,1,Charlton,-,4,Richard E. Neal,Democratic,932
US House,1,Charlton,-,4,Blanks,Blanks,428
US House,1,Charlton,-,4,All Others,All Others,42
US House,1,Cheshire,-,1,Total Votes Cast,Total Votes Cast,1512
US House,1,Cheshire,-,1,Richard E. Neal,Democratic,1152
US House,1,Cheshire,-,1,Blanks,Blanks,327
US House,1,Cheshire,-,1,All Others,All Others,33
US House,1,Chester,-,1,Total Votes Cast,Total Votes Cast,575
US House,1,Chester,-,1,Richard E. Neal,Democratic,397
US House,1,Chester,-,1,Blanks,Blanks,174
US House,1,Chester,-,1,All Others,All Others,4
